,sentences,WS
0,便宜的看姓就知道是滯台支那人呵呵,"['便宜', '的', '看', '姓', '就', '知道', '是', '滯', '台', '支那人', '呵呵']"
1,選前就應該抓去關了已經很明顯老柯輸不起,"['選', '前', '就', '應該', '抓去', '關', '了', '已經', '很', '明顯', '老柯', '輸不起']"
2,我不敢中國覺青,"['我', '不', '敢', '中國', '覺', '青']"
3,33人間幹又要借不到車了蔣萬安除了帥跟開支票還會改前4小時免費我就投你。反正萬安不會去騎好看的草包低能很吃這一套的Ubike,"['33', '人間幹', '又', '要', '借', '不', '到', '車', '了', '蔣萬安', '除了', '帥', '跟', '開', '支票', '還', '會', '改', '前', '4', '小時', '免費', '我', '就', '投', '你', '。', '反正', '萬安', '不會', '去', '騎', '好看', '的', '草包', '低能', '很', '吃', '這', '一', '套', '的', 'Ubike']"
4,分佔一二中興橋不智障，但最狹窄最改善前的重陽橋福和橋，真的是低能兒設計重陽橋真的白痴關渡橋也是關渡橋那個分流設計真的智改建前的重陽橋機車道,"['分佔', '一二', '中興橋', '不', '智障', '，', '但', '最', '狹窄', '最', '改善', '前', '的', '重陽橋', '福和橋', '，', '真的', '是', '低能兒', '設計', '重陽橋', '真的', '白痴', '關渡橋', '也', '是', '關渡橋', '那', '個', '分流', '設計', '真的', '智', '改建', '前', '的', '重陽橋', '機車道']"
5,還在鄭弘儀又走回做智障節目的習下李上(X),"['還', '在', '鄭弘儀', '又', '走回', '做', '智障', '節目', '的', '習下', '李上', '(', 'X', ')']"
6,山西布政司的五千兩昨天館長直播根本沒提到兒山西這是什麼老派反叛自爆是我漏聽了還是？昨天柯有自爆了XDD那就是有！！！山西布政司的五千兩….笑死,"['山西', '布政司', '的', '五千兩', '昨天', '館長', '直播', '根本', '沒', '提到', '兒山西', '這', '是', '什麼', '老派', '反叛自爆', '是', '我', '漏聽', '了', '還是', '？', '昨天', '柯有自爆', '了', 'XDD', '那', '就', '是', '有', '！', '！', '！', '山西', '布政司', '的', '五千兩', '…', '.', '笑死']"
7,理工人,['理工人']
8,爛綠被嘴爆惹可憐哪笑死,"['爛綠', '被', '嘴', '爆惹', '可憐', '哪', '笑死']"
9,幾萬塊掏不出來原來承諾還能收回啊？輸不起，不要臉拱韓大將軍,"['幾萬', '塊', '掏', '不', '出來', '原來', '承諾', '還', '能', '收回', '啊', '？', '輸不起', '，', '不要', '臉拱', '韓', '大', '將軍']"
10,有夠中肯高潮什麼,"['有夠', '中肯', '高潮', '什麼']"
11,不過份舉債被講阿苗不意外綠共真他媽辣雞你幹嘛跟苗認真，他只會無塔綠班不聽,"['不', '過份', '舉債', '被', '講', '阿苗', '不', '意外', '綠共真', '他', '媽辣雞', '你', '幹嘛', '跟', '苗', '認真', '，', '他', '只', '會', '無', '塔綠班', '不', '聽']"
12,中國鵬扶不起他你是不是看不起我們大仁哥蘇光頭系統下去,"['中國', '鵬扶', '不', '起', '他', '你', '是', '不是', '看不起', '我們', '大仁哥', '蘇光頭', '系統', '下去']"
13,前先把人逼辭職以後開始搶位拍手通過說個笑話,"['前', '先', '把', '人', '逼', '辭職', '以後', '開始', '搶位', '拍手', '通過', '說', '個', '笑話']"
14,垃圾黨媒綠師又來了這是類設計不良,"['垃圾', '黨', '媒綠師', '又', '來', '了', '這', '是', '類', '設計', '不良']"
15,不然沒政不然你要蓋捷運?被黨...阿,"['不然', '沒', '政', '不然', '你', '要', '蓋', '捷運', '?', '被', '黨', '.', '.', '.', '阿']"
16,推，22k是自己選文組，不能承認核四蓋壞，只會說當年喝豆漿擋下核電廠的林我大DPP不會有錯，如果無知跟風選民,"['推，', '22', 'k', '是', '自己', '選文組', '，', '不能', '承認', '核四', '蓋壞', '，', '只', '會', '說', '當年', '喝', '豆漿', '擋下', '核電廠', '的', '林我大', 'DPP', '不會', '有', '錯', '，', '如果', '無知', '跟', '風', '選民']"
17,抹黑造謠工程有問題請議員去質詢拿不知道很奇怪嗎,"['抹黑', '造謠', '工程', '有', '問題', '請', '議員', '去', '質詢', '拿', '不知道', '很', '奇怪', '嗎']"
18,有得到對看他做的,"['有', '得到', '對', '看', '他', '做', '的']"
19,噁爆焦慮台北市長選輸，總統可你也會焦慮?塔綠班真急側翼綠蟑興奮表示：煙毒蟑螂很適合出來洗地板媒體和顏色能把做事的人抹哈哈,"['噁爆', '焦慮', '台北市長', '選輸', '，', '總統', '可', '你', '也', '會', '焦慮', '?', '塔綠班', '真', '急側翼', '綠蟑', '興奮', '表示', '：', '煙毒', '蟑螂', '很', '適合', '出來', '洗', '地板', '媒體', '和', '顏色', '能', '把', '做', '事', '的', '人', '抹哈哈']"
20,嘻把著狗黨腿的噁甲二年後再拜託你幫忙輔選了記得下次再幫忙喔：）謝噁甲賜票要清算，他也躲不掉看他崩潰就是爽輸不起呀輸不起高市長要感謝八千甲才對，噁心爛甲輸不起!爽~哈哈哈哈你沒用了，找工作吧也只敢上三民自，其他台就希望以後不要在看到這咖爽,"['嘻', '把', '著', '狗', '黨腿', '的', '噁甲', '二', '年', '後', '再', '拜託', '你', '幫忙', '輔選', '了', '記得', '下', '次', '再', '幫忙', '喔', '：', '）', '謝噁甲', '賜票', '要', '清算', '，', '他', '也', '躲', '不', '掉', '看', '他', '崩潰', '就', '是', '爽', '輸不起', '呀', '輸不起', '高', '市長', '要', '感謝', '八千', '甲', '才', '對', '，', '噁心爛甲', '輸不起', '!', '爽', '~', '哈哈', '哈哈', '你', '沒用', '了', '，', '找', '工作', '吧', '也', '只', '敢', '上', '三民', '自', '，', '其他', '台', '就', '希望', '以後', '不要', '在', '看到', '這', '咖', '爽']"
21,台獨吉娃娃哮天犬，只會叫推,"['台獨', '吉娃娃', '哮天犬', '，', '只', '會', '叫', '推']"
22,謝謝==蔣要選也十年後了，以某些傀儡跟韓導我寧願投韓導16年後再說啦蔣家出了台北只有扣分最少當一期,"['謝謝', '==', '蔣', '要', '選', '也', '十', '年', '後', '了', '，', '以', '某些', '傀儡', '跟', '韓導', '我', '寧願', '投', '韓導', '16', '年', '後', '再', '說', '啦', '蔣家', '出', '了', '台北', '只有', '扣分', '最少', '當', '一', '期']"
23,繼續檢討死忠的看不懂啦哈哈哈哈哈哈哈哈哈哈哈原po保重,"['繼續', '檢討', '死忠', '的', '看', '不', '懂', '啦', '哈哈哈', '哈哈', '哈', '哈', '哈', '哈', '哈哈', '原', 'po', '保重']"
24,如果這次雙北任何一席被民說得好,"['如果', '這', '次', '雙北', '任何', '一', '席', '被', '民', '說', '得', '好']"
25,笑死獎學金算賄選哦...有指柯文哲的新政治，呵呵開始了開始了蟑螂進攻囉,"['笑死', '獎學金', '算', '賄選', '哦', '.', '.', '.', '有', '指', '柯文哲', '的', '新', '政治', '，', '呵呵', '開始', '了', '開始', '了', '蟑螂', '進攻', '囉']"
26,是不是在臭蔡英文我懷疑你在罵你大老闆草包一樣請勿自介哈哈哈哈，時鐘團隊比較好是不是在打臉蔡英文啊,"['是', '不是', '在', '臭', '蔡', '英文', '我', '懷疑', '你', '在', '罵', '你', '大', '老闆', '草包', '一樣', '請', '勿', '自介哈哈', '哈哈', '，', '時鐘', '團隊', '比較', '好', '是', '不是', '在', '打', '臉', '蔡英文', '啊']"
27,這是台灣民進黨的話反過來看就合理綠共一家親那有用母權利嗎?我是不信啦塔綠班還在抹高好啦,"['這', '是', '台灣', '民進黨', '的話', '反過來', '看', '就', '合理', '綠共', '一', '家', '親', '那', '有', '用', '母', '權利', '嗎', '?', '我是', '不', '信', '啦', '塔綠班', '還', '在', '抹', '高', '好', '啦']"
28,下去嘔嘔嘔嘔嘔醜,"['下去', '嘔嘔嘔嘔嘔', '醜']"
29,"民進党執政這太噁心了影片找不到了，只剩片段，原來苗跟co2是上下位關丟臉至極。靠這作為有夠誇張,公務員有關係就能上門pcr","['民進党', '執政', '這', '太', '噁心', '了', '影片', '找', '不', '到', '了', '，', '只', '剩', '片段', '，', '原來', '苗', '跟', 'co2', '是', '上下', '位', '關', '丟臉', '至極', '。', '靠', '這', '作為', '有夠', '誇張', ',', '公務員', '有關係', '就', '能', '上門', 'pcr']"
30,年底歸隊齁要不要上街表現真民意一輩子賺一筆就能退休了哈哈哈，真的是該處理的不礦業法表示：就是想怎麼花就怎麼花??可見酒駕不是不能修,"['年底', '歸', '隊齁', '要不要', '上街', '表現', '真', '民意', '一', '輩子', '賺', '一', '筆', '就', '能', '退休', '了', '哈', '哈哈', '，', '真的', '是', '該', '處理', '的', '不', '礦業法', '表示', '：', '就', '是', '想', '怎麼', '花', '就', '怎麼', '花', '?', '?', '可見', '酒駕', '不是', '不能', '修']"
31,真的搞所以能罵KMT,"['真的', '搞', '所以', '能', '罵', 'KMT']"
32,好了快去睡吧你去看一下歷史,"['好', '了', '快', '去', '睡', '吧', '你', '去', '看', '一下', '歷史']"
33,芒果乾跟KMT情勒多元宇宙只有5個,"['芒果', '乾', '跟', 'KMT', '情勒', '多元', '宇宙', '只', '有', '5', '個']"
34,"他誰啦吃素就不要講出來啦丟臉看到側翼名字就是噓,我管八卦意外？八卦版真不意外早說，為什麼不早說只會嘴巴講~卻不以身作則甲甲騎士團你是不是想X人家哪是吃肉，是二手素，牛吃還好我手錶當鬧鐘我也是用這個音效當鬧鐘","['他', '誰', '啦', '吃素', '就', '不要', '講出來', '啦', '丟臉', '看到', '側翼', '名字', '就', '是', '噓', ',', '我', '管', '八卦', '意外', '？', '八卦版', '真', '不', '意外', '早', '說', '，', '為什麼', '不', '早', '說', '只', '會', '嘴巴', '講', '~', '卻', '不', '以身作則', '甲甲騎士團', '你', '是', '不是', '想', 'X', '人家', '哪', '是', '吃', '肉', '，', '是', '二手素', '，', '牛', '吃', '還好', '我', '手錶', '當', '鬧鐘', '我', '也', '是', '用', '這', '個', '音效', '當', '鬧鐘']"
35,驕傲好了啦，到時換萬安就是真看看KMT,"['驕傲', '好了', '啦', '，', '到時', '換', '萬安', '就', '是', '真', '看看', 'KMT']"
36,不要辱師字在台灣言論自由是在會堂讓蚵網軍太多，怕怕綠師真的蠻貼切的被吹出來的吧，根本不強科,"['不要', '辱師字', '在', '台灣', '言論', '自由', '是', '在', '會堂', '讓', '蚵網軍', '太多', '，', '怕怕', '綠師', '真的', '蠻', '貼切', '的', '被', '吹出來', '的', '吧', '，', '根本', '不', '強', '科']"
37,斐陶阿人家還是高票當選啊!!本板網軍只檢討民進黨，其把光臨藝術節的五億省下來跟我的印象一樣,"['斐陶阿', '人家', '還是', '高票', '當選', '啊', '!', '!', '本板', '網軍', '只', '檢討', '民進黨', '，', '其', '把', '光臨', '藝術節', '的', '五億', '省下來', '跟', '我的', '印象', '一樣']"
38,又不是韓導都有綠的要把她當韓國瑜來垃圾老人快去死一波，謝謝剛選上就開始打預防針了,"['又', '不是', '韓導', '都', '有', '綠', '的', '要', '把', '她', '當', '韓國瑜', '來', '垃圾', '老人', '快', '去死', '一', '波', '，', '謝謝', '剛', '選上', '就', '開始', '打', '預防針', '了']"
39,給你參考怎麼,"['給', '你', '參考', '怎麼']"
40,早就說了完全執政，國民黨還不是搞不就台灣最大垃圾林垃圾的馬娘娘你當總統的時候不硬台灣被耽誤六年，還可以繼合理,"['早', '就', '說', '了', '完全', '執政', '，', '國民黨', '還不是', '搞', '不', '就', '台灣', '最', '大', '垃圾林', '垃圾', '的', '馬娘娘', '你', '當', '總統', '的', '時候', '不', '硬', '台灣', '被', '耽誤', '六', '年', '，', '還可以', '繼', '合理']"
41,難怪阿中要贏了這家的dpp沒輸過吧,"['難怪', '阿中', '要', '贏', '了', '這', '家', '的', 'dpp', '沒', '輸', '過', '吧']"
