label,,sentence,label
Non-offensive,0,希望台灣會更好大推這篇！！推,Non-offensive
Non-offensive,1,下面沒人要跟土城找安囉,Non-offensive
Non-offensive,2,0每個小瑕疵看起來都很細微過高屏溪都殺人無罪了,Non-offensive
Non-offensive,3,淪落到連打一個教嗚嗚嗚，好可憐，都是柯P霸凌慣犯阿苗怎麼不幫幫你的苗粉快去死吧！政治蟑螂直接把苗對柯文哲-科長的是不是真的拿大會跟委員會發現党沒人要替它講話很慌苗主席都被切割了好了啦明年別想再選上了希望他任期到此為止好了啦，講重點不要臉的髒東西台大法之恥大安文山的優質選擇Bryant,Non-offensive
Non-offensive,4,但是司法你以綠能你不能啦要就全國一起玩台南感覺更哇，把新竹選民當白癡耍是第一天認識民進黨？還沒就職,Non-offensive
Non-offensive,5,學學對手直接砸粉專一直花錢一直爽喔，所以勒，你選舉都不花所以呢??,Non-offensive
Non-offensive,6,，還是塔綠斑又在鬧怎還沒告?自己侵權自己大概是跨下癢發明人之一然後只告高虹安嫌票太多高聖精密董事長黃水木跟李所以是告錯人?趕快告，笑你不敢背信是背三小,Non-offensive
Non-offensive,7,到底誰是執政噓~~~~~~~~~~~自介黨沒下限自介XX能講出這種話不愧是最不要民進黨說別人是黑道？中天同標來看,Non-offensive
Non-offensive,8,外面一層回國7+7。匡列自費14高端就是強！！我三高我驕傲！！,Non-offensive
Non-offensive,9,瘋到連慈濟也敢打妳要確定欸妳484覺得選民都白癡？coco姐發動攻擊，側翼護航速度越快，越讓人覺得了不起,Non-offensive
Non-offensive,10,三立選邊蟑螂內戰這粉不夠純,Non-offensive
Non-offensive,11,應該跟掃地機器人一樣自己開的那麼慢,Non-offensive
Non-offensive,12,新竹只要肯去查弊案,Non-offensive
Non-offensive,13,子瑄只是為了錢，別為難他自己沒研發能力花錢強化軍這個廢物還賴在台灣啊台大政治一堆黨國餘孽真的攻三小~俄中不出來打人就中有子軒,Non-offensive
Non-offensive,14,厲害了民進黨垃圾藍綠不倒台灣不會好有利的本來就可以溯及既往沒辦法,Non-offensive
Non-offensive,15,党的票還再加油一點後面就可以笑全笑你啦笑死高雄現在還在被笑啊崩潰~~~原來高雄還不丟臉啊綠師崩潰ing,Non-offensive
Non-offensive,16,震暈了當然怎他每次都可以救到人嘻嘻,Non-offensive
Non-offensive,17,有講跟沒講一樣又要得憂鬱症了綠畜又氣噗噗了帶種就喊名啊，在吠什麼？查一下文化部預算，應該會真的阿,Non-offensive
Non-offensive,18,喬柯氣死虹姐！！！！！！！！！！開始尋寶囉母豬總統崩潰,Non-offensive
Non-offensive,19,他說的都對：）五十步笑百步Ptt也是,Non-offensive
Non-offensive,20,"新竹新竹高學歷高智商,別想了側翼嫌票敗的不夠多，就繼先把自己顧好吧白癡",Non-offensive
Non-offensive,21,蔣是輸中國，台灣那時候是日因為美國都被打到躲到深山裡去了哪前面能源被美國制裁,Non-offensive
Non-offensive,22,WW德國：那個俄羅斯...加上之前的斷氣事件，看來歐盟內鬨了,Non-offensive
Non-offensive,23,剩下兩個人大概是薛香川和低能綠畜就只會造謠阿~~1位4500,Non-offensive
Non-offensive,24,的,Non-offensive
Non-offensive,25,鏈鋸人打鬥前都要回憶拖時想太多,Non-offensive
Non-offensive,26,然後好可悲幫黑道在恐嚇人民還你們別收黑道背景y的政治妳還是乖乖當日本人妻吧現在是公開直接威脅就對了直接肯定民進黨黑道很多的我被性騷擾了繼續這樣到2024就對了跟館長說再吵就要開槍了吧恐嚇嗎？意思是民進黨黑道要開槍報黑道治國就是不一樣建議您菊花洗乾淨一點,Non-offensive
Non-offensive,27,強者雲集這才有戲唱可以合作就很好了,Non-offensive
Non-offensive,28,雞排臭酸的我不要可以閉嘴嗎她？有夠反感執政且立委過半表示？執政過半很爽喔也不用等法案過啦，直接專現在的民進黨就是黑金,Non-offensive
Non-offensive,29,背叛我們快樂水好，看來打茶包打對了，側早說,Non-offensive
Non-offensive,30,完全沒做事,Non-offensive
Non-offensive,31,天天教？？？？？？？？？？？？反串嗎？九萬為了錢出賣自己的人格這是我今天看到最好笑的笑選總統啦？！準備毀了dpp霸佔國民黨黨部？死忠這麼多,Non-offensive
Non-offensive,32,阿館這次被摸頭也不館長也要道歉啊，多少年輕ee已經來不及任期內挽回歷史定位肯定是台灣史上最馬屁精，那麼厲害應該是大英系的確實都是大勝喔不初選,Non-offensive
Non-offensive,33,繼續,Non-offensive
Non-offensive,34,統一誠實豆沙包太粗暴了,Non-offensive
