,sentence,label
631,笑死,Offensive
420,怎麼綠蟑螂超急,Offensive
3868,賣國KMT沒辦法去,Offensive
2746,你議員都黑道一起挺,Non-offensive
4609,搞不好4X早有照片等著在接駁車VIP？接駁車是勞講的東西沒幾個真的，這種讚讚讚，2024穩了垃圾新聞記者有跟柯p求證民進黨瘟神出現了這種低智商謠言也只有低智全世界哪個首都市長來台灣民進黨2024穩了，穩下這種人講話還有人信喔？有這種只有同溫層會信的東西有錢就可以的譁然？？？？可以不要轉垃圾新聞嗎就算是真的，首都市長做這不要老是報一些不重要的人前科犯又犯毒癮了嗎?,Non-offensive
0,便宜的看姓就知道是滯台支那人呵呵,Non-offensive
2106,既然大家都中國人就不用分你們自己罵同黨賴清德傾中喔喔~你不矛盾都是別人矛鄭運鵬支持高虹安？笑死，一隻手指指別人，四別人只是用你的標準來審視笑死,Non-offensive
4777,黑名來看看高選上後有多少人會這篇好熱鬧？？？？？？？？？柯說的，名字呢又亂講話了這個公園阿伯中央廚房下令要打這篇，避有證據就去告啊淦,Non-offensive
550,作風始終如三支箭幫建商射死年輕人這幾年,Non-offensive
1579,罪責不改重,Non-offensive
3624,那時代就是那個時候看色情文學比較不就等啊你有玩過mud嗎古撥接時代沒什圖片多是靜態那時也沒啥高畫質圖片吧,Non-offensive
1584,"他跟宗痛報告我這兩年只有喝高端股票還沒跌台南仔不意外防疫有當網紅一半認真就好滾，真的很誇張，選上完全唧唧會變小姑婆勇之後,又出來了一個做醫生喜歡喝全糖作秀廢物紅茶類的也只喝全糖或7分全糖少冰XD智障塔綠班最愛看這種花邊唉，一直都那麼低能嗎？低能兒",Non-offensive
4520,"哈哈星爺先知好無聊,一直討論EE的論口試的時候拿出一張一張的這篇怎麼這麼好笑",Non-offensive
1574,有專家身份,Non-offensive
2156,上傳的論文可以低能兒又信了,Non-offensive
2798,再換一個綠圾上暖男升等成暖神！難怪冬天不像冬天代理都不會出來選啦賴神又被邊緣了，可憐做做樣子當選的市長暫代主席本來就裡面他選最好啊大家沒關係，只要一直輪永想讓全台灣暖化嗎ww主席唯一支持堅哥鵝!!!暖到燒呼呼~~呵至少是這次贏最漂亮的阿X找沒派系力量的代理才不會英系要急流勇退的了嗎這不就傲慢傲慢再傲慢的結功德哭哭,Non-offensive
3263,我被徵召OK這膿包不是一直被徵召嗎,Non-offensive
4423,"政府是笨蛋對岸不就募兵,採用專業這至少現在要發佈動員令亡羊因為前一任走兩岸和平路線塔綠班都罵軍人是米蟲!所統一教母又不是講假的唬爛",Non-offensive
2076,"都是非不分,""努力""二字是成功人的專是很努力啦",Non-offensive
4303,還要拉贊助新竹人沒空,Non-offensive
4914,北七國文死當的，大家是在嘻嘻,Non-offensive
4536,一個有官癌對這傢伙的厭惡，至少讓D繼續騙,Non-offensive
1493,反串,Non-offensive
480,選舉選到腦子跟中共什麼都怪境外勢力有乾脆說票投國民黨的都是共真心佩服能認真看完那麼一浮屍不能提也太呱張了吧只要批評時政就是中共同路翁履中正在打臉他們台灣民綠蛙大合奏，呱呱呱，產生又玩文字新解了是吧,Non-offensive
351,國會過半好意思說塞就說下禮拜五,Non-offensive
4921,你不能還有,Non-offensive
3336,還要在八卦宣傳才有13000>33000火大家都知道藍綠爛，第三勢八卦才1.3萬欸,Non-offensive
