,sentence,label
0,便宜的看姓就知道是滯台支那人呵呵,Non-offensive
1,選前就應該抓去關了已經很明顯老柯輸不起,Non-offensive
2,我不敢中國覺青,Non-offensive
3,33人間幹又要借不到車了蔣萬安除了帥跟開支票還會改前4小時免費我就投你。反正萬安不會去騎好看的草包低能很吃這一套的Ubike,Non-offensive
4,分佔一二中興橋不智障，但最狹窄最改善前的重陽橋福和橋，真的是低能兒設計重陽橋真的白痴關渡橋也是關渡橋那個分流設計真的智改建前的重陽橋機車道,Non-offensive
5,還在鄭弘儀又走回做智障節目的習下李上(X),Offensive
6,山西布政司的五千兩昨天館長直播根本沒提到兒山西這是什麼老派反叛自爆是我漏聽了還是？昨天柯有自爆了XDD那就是有！！！山西布政司的五千兩….笑死,Non-offensive
7,理工人,Non-offensive
8,爛綠被嘴爆惹可憐哪笑死,Offensive
9,幾萬塊掏不出來原來承諾還能收回啊？輸不起，不要臉拱韓大將軍,Non-offensive
10,有夠中肯高潮什麼,Non-offensive
11,不過份舉債被講阿苗不意外綠共真他媽辣雞你幹嘛跟苗認真，他只會無塔綠班不聽,Non-offensive
12,中國鵬扶不起他你是不是看不起我們大仁哥蘇光頭系統下去,Non-offensive
13,前先把人逼辭職以後開始搶位拍手通過說個笑話,Non-offensive
14,垃圾黨媒綠師又來了這是類設計不良,Offensive
15,不然沒政不然你要蓋捷運?被黨...阿,Non-offensive
16,推，22k是自己選文組，不能承認核四蓋壞，只會說當年喝豆漿擋下核電廠的林我大DPP不會有錯，如果無知跟風選民,Non-offensive
17,抹黑造謠工程有問題請議員去質詢拿不知道很奇怪嗎,Non-offensive
18,有得到對看他做的,Non-offensive
19,噁爆焦慮台北市長選輸，總統可你也會焦慮?塔綠班真急側翼綠蟑興奮表示：煙毒蟑螂很適合出來洗地板媒體和顏色能把做事的人抹哈哈,Non-offensive
20,嘻把著狗黨腿的噁甲二年後再拜託你幫忙輔選了記得下次再幫忙喔：）謝噁甲賜票要清算，他也躲不掉看他崩潰就是爽輸不起呀輸不起高市長要感謝八千甲才對，噁心爛甲輸不起!爽~哈哈哈哈你沒用了，找工作吧也只敢上三民自，其他台就希望以後不要在看到這咖爽,Non-offensive
21,台獨吉娃娃哮天犬，只會叫推,Non-offensive
22,謝謝==蔣要選也十年後了，以某些傀儡跟韓導我寧願投韓導16年後再說啦蔣家出了台北只有扣分最少當一期,Non-offensive
23,繼續檢討死忠的看不懂啦哈哈哈哈哈哈哈哈哈哈哈原po保重,Non-offensive
24,如果這次雙北任何一席被民說得好,Non-offensive
25,笑死獎學金算賄選哦...有指柯文哲的新政治，呵呵開始了開始了蟑螂進攻囉,Non-offensive
26,是不是在臭蔡英文我懷疑你在罵你大老闆草包一樣請勿自介哈哈哈哈，時鐘團隊比較好是不是在打臉蔡英文啊,Non-offensive
27,這是台灣民進黨的話反過來看就合理綠共一家親那有用母權利嗎?我是不信啦塔綠班還在抹高好啦,Non-offensive
28,下去嘔嘔嘔嘔嘔醜,Offensive
29,"民進党執政這太噁心了影片找不到了，只剩片段，原來苗跟co2是上下位關丟臉至極。靠這作為有夠誇張,公務員有關係就能上門pcr",Non-offensive
30,年底歸隊齁要不要上街表現真民意一輩子賺一筆就能退休了哈哈哈，真的是該處理的不礦業法表示：就是想怎麼花就怎麼花??可見酒駕不是不能修,Non-offensive
31,真的搞所以能罵KMT,Non-offensive
32,好了快去睡吧你去看一下歷史,Non-offensive
33,芒果乾跟KMT情勒多元宇宙只有5個,Non-offensive
34,"他誰啦吃素就不要講出來啦丟臉看到側翼名字就是噓,我管八卦意外？八卦版真不意外早說，為什麼不早說只會嘴巴講~卻不以身作則甲甲騎士團你是不是想X人家哪是吃肉，是二手素，牛吃還好我手錶當鬧鐘我也是用這個音效當鬧鐘",Non-offensive
35,驕傲好了啦，到時換萬安就是真看看KMT,Non-offensive
36,不要辱師字在台灣言論自由是在會堂讓蚵網軍太多，怕怕綠師真的蠻貼切的被吹出來的吧，根本不強科,Non-offensive
37,斐陶阿人家還是高票當選啊!!本板網軍只檢討民進黨，其把光臨藝術節的五億省下來跟我的印象一樣,Non-offensive
38,又不是韓導都有綠的要把她當韓國瑜來垃圾老人快去死一波，謝謝剛選上就開始打預防針了,Non-offensive
39,給你參考怎麼,Non-offensive
40,早就說了完全執政，國民黨還不是搞不就台灣最大垃圾林垃圾的馬娘娘你當總統的時候不硬台灣被耽誤六年，還可以繼合理,Non-offensive
41,難怪阿中要贏了這家的dpp沒輸過吧,Non-offensive
42,選無腦低能兒才會支持空心菜她是用選舉在逃避現實只會選舉的綠色賤觸綠色賤從元宇宙來看多重宇宙非常沒有存在感的總統三百萬粉絲活人真的有多少只會選舉的綠色母狗八卦版柯粉最愛的中天沒總統很久了，只有情勒人你這次不電死她，下次換她問題是她本人還沒覺醒跟國民黨一起倒吧EE黑金治國根本走李登輝就想知道有多少經費用來買畢竟是死忠的狗報+中天還有3000僵屍死忠,Non-offensive
43,不然怎麼會要徵召黑阿你有初選嗎==不是黑道問題，黑道表示欣講的好像他有初選一樣真草是在質疑EE?你也沒初選你怎麼不早說初選崩壞=指派的人很爛=農農你也是被徵召欸哇,Non-offensive
44,都是砲灰他媽的，一個沒有什麼經歷全力支持,Non-offensive
45,"都智障啊不管哪裡超市超商大賣場，都沒有年輕妹紙找我一起結跟南部仔一樣還有那種買6種物品,要分低能兒特牛逼不是只有好市多，台灣很多五樓被狂甲傳教士樓下比較喜歡怎樣被肛五樓都跟甲甲傳教士內射我他媽看起來像傳教士ㄇ？跟廟裡的年輕人比",Non-offensive
46,就是胡說八道架屁啊,Non-offensive
47,不知不覺,Non-offensive
48,園區只會選舉的母豬大家回家投票下架民進黨六年了,Offensive
49,馬馬好老哦,Non-offensive
50,可能會得憂支那很多地區會把確診者寵就要變成反美第一線,Non-offensive
51,有想炒這的柯粉一直以來只會酸宋親民黨的事,Non-offensive
52,選前網軍吹到翻,Non-offensive
53,配方不給就崩潰現在柯文哲又調皮了,Non-offensive
54,懂？你老闆還是怪人民啊,Non-offensive
55,不是都沒排進去了？真有決要選舉了幹你媽的新竹一堆中狗抓一聽你在屁跟你賭到蔡英文卸呵呵,Non-offensive
56,美國轟蘇聯和美國,Non-offensive
57,真難伺不錯有進步了,Non-offensive
58,塔綠斑蟑螂好好的人不當,Offensive
59,讚覺得是在救房市全部開放了,Non-offensive
60,中央執政成這樣,Non-offensive
61,講種話都不會心虛到底在公殺小可以不要貼她新聞製造聲量雞排妹也被民進黨吸收了幹你娘只會比爛不要再業配ㄌ這嘴臉不是側翼,Non-offensive
62,笑死再選她出來真的就是政苗苗最憨慢，戈巴契夫頭髮看來阿北那邊全力出擊了怎摸ㄌ@@,Non-offensive
63,反應這麼大幹麻?八卦版復活了幹，真的垃圾，塔綠班這樣垃圾民進黨笑死,Offensive
64,你辭了嗎沒辭的嘴辭職的決心？這整阿鵬你怎麼沒辭,Non-offensive
65,選漂我老婆恭喜下屆議員遷戶口了一堆豬哥票里民服務感謝祭真正的豬哥票,Non-offensive
66,怕被關回去嗎之前講實話後,Non-offensive
67,你又會覺得要能再花掉幾個兆的，我看馬英九真的比較像個走向自ID跟內文反差XDDDD浪吱回頭XDD好人一個，就是人太好才一浪吱回頭,Non-offensive
68,你他媽才拿古早人的說法來帶什麼風跟現在一樣，慘海盜後代現在洗成這樣算不他這診斷的是台灣人的民族先知,Non-offensive
69,公開處刑綠共害怕說是文革共產黨喔綠能你不能看看那選區的人有多智障，綠共不是叫假的這不叫訕笑羞辱什麼才是,Non-offensive
70,什麼都能抗中保台！不要問這麼細龍生龍,Non-offensive
71,民眾黨只需要留還好有創黨,Non-offensive
72,我之前跟一工程師題材本來就沒有很受不算資產家，台北高薪的大台北外商很多忠言逆耳補血，然後我要看到血流成補血,Non-offensive
73,民主進步黨為了高端的某党有一個阿貝說有疫苗管道，民進黨阿,Non-offensive
74,你負責黨格仍在,Non-offensive
